,n_track,set_section,artist,track,set_name,song_id,album,duration,tempo,energy,danceability,valence,key,time_signature,acousticness,instruentalness,mode
2,3,1,DJ Gregory,Head Talking,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape,28hRZdsfwZ6kCfFCRg1bDv,Kern Exclusives,6.023616666666666,128.969,0.602,0.558,0.473,7,4,0.000927,0.533,1
7,8,1,The Thirst,Ital & Halal,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape,3utq2FgD1pkmIoaWfjXWAU,The Stranger (Legacy Edition),7.614883333333333,97.953,0.931,0.415,0.339,5,4,0.407,0.000501,1
10,11,1,Simoncino,Earth & Nightfall,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape,01z2fBGB8Hl3Jd3zXe4IXR,Swimming,2.6973333333333334,83.507,0.238,0.272,0.119,2,4,0.89,0.00925,0
11,12,1,Legowelt,Rave Till Dawn,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape,3XVNkyuB0uPYjjyQDW76aM,The Paranormal Soul,6.406116666666667,125.049,0.901,0.751,0.493,2,4,3.11e-05,0.000111,0
13,14,1,Dynamo,Aufenthalt 3,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape,0H3vWpTmqLsKrKeHO3qF6o,Außen vor,3.8931,133.372,0.445,0.822,0.568,6,4,0.0123,0.457,1
15,16,1,Antigone,The Time Merchant,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape,08iGYWmrwHwK37PkBoRGoh,WALLS #3,6.769833333333334,129.998,0.988,0.783,0.0832,10,4,0.0867,0.82,0
17,18,1,Ben Klock,Compression Session,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape,66bfuV2IIz3uLUACAtMh7b,Compression Session,6.307083333333333,127.011,0.729,0.784,0.0745,1,4,0.101,0.547,1
18,1,1,Scanner,RF Radiation,2016-03-04 - Skee Mask - Groove Podcast 50,50eWOvcOG3LyVlFHbqvh24,Spore,5.1306666666666665,80.671,0.196,0.307,0.06,1,3,0.727,0.538,1
19,2,1,Javier Hernando,Bruma Caustica,2016-03-04 - Skee Mask - Groove Podcast 50,1zQ2Z7HiGFlehMlViGiMC5,Luz Nacarina,6.650666666666667,70.349,0.00311,0.277,0.0394,10,3,0.957,0.0292,1
20,3,1,All,Logopedie 99,2016-03-04 - Skee Mask - Groove Podcast 50,4qqqvv5ZwUhzHU4qIEWmtE,Pop Ambient 2004,6.308666666666666,80.344,0.235,0.147,0.0394,7,4,0.927,0.989,1
21,4,1,Stasis,So,2016-03-04 - Skee Mask - Groove Podcast 50,35oy9Ew9QjfhDuvMf0hfjS,Inspiration,1.5088833333333334,95.921,0.193,0.698,0.282,5,4,0.68,0.945,0
22,5,1,Moody Boyz,Pygmy Song,2016-03-04 - Skee Mask - Groove Podcast 50,7xaS1xfPrgtZuDwHIuwQGE,Product Of The Environment,7.657766666666666,100.891,0.487,0.737,0.143,10,4,0.102,0.76,0
27,10,1,UVB,Salvation,2016-03-04 - Skee Mask - Groove Podcast 50,410S4iSg6QnB3OGoy4uV5B,Life,6.03565,131.942,0.877,0.699,0.231,7,4,0.0464,0.94,1
28,11,1,Boss,Depka Rulez,2016-03-04 - Skee Mask - Groove Podcast 50,2rHfVJhs7OjQ3Q5pdxvcR6,Depka Rulez,4.133016666666666,140.004,0.989,0.777,0.445,1,4,0.00134,0.895,1
32,15,1,E,Dancer,2016-03-04 - Skee Mask - Groove Podcast 50,69sJBJdGogAYV74hmB0ORK,Revamp: The Songs Of Elton John & Bernie Taupin,6.0198,139.997,0.537,0.532,0.154,0,4,0.277,8.5e-06,1
34,17,1,Ñaka Ñaka,Oli,2016-03-04 - Skee Mask - Groove Podcast 50,4YNtKE8ooOoaJUVAbhCcTa,Tuli Mumasogo,4.3472,164.881,0.871,0.449,0.834,11,4,0.527,0,0
35,18,1,Dalhous,Function Curve,2016-03-04 - Skee Mask - Groove Podcast 50,5dA2U6I2PiX9RN6PzIxzkM,Will to Be Well,3.2917666666666667,84.301,0.603,0.198,0.0794,1,3,0.731,0.902,0
36,19,1,William Basinski,The Deluge,2016-03-04 - Skee Mask - Groove Podcast 50,4T4RDJg8mZjl7BE6z0U2sY,The Deluge Live at Issue Project Room,36.14355,134.53,0.0805,0.218,0.0685,6,4,0.995,0.845,1
37,20,1,Melanin 9 Feat. Roc Marciano,White Russian,2016-03-04 - Skee Mask - Groove Podcast 50,5cmx64G6NpTRevu6P0Wg3M,"From Black, To White, To Pork",5.72,130.006,0.871,0.589,0.558,1,4,0.000166,0.504,1
38,20,1,Melanin 9 Feat. Roc Marciano,White Russian,2016-03-04 - Skee Mask - Groove Podcast 50,5cmx64G6NpTRevu6P0Wg3M,"From Black, To White, To Pork",5.72,130.006,0.871,0.589,0.558,1,4,0.000166,0.504,1
39,1,1,?,White Russian,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",5cmx64G6NpTRevu6P0Wg3M,"From Black, To White, To Pork",5.72,130.006,0.871,0.589,0.558,1,4,0.000166,0.504,1
40,1,1,?,White Russian,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",5cmx64G6NpTRevu6P0Wg3M,"From Black, To White, To Pork",5.72,130.006,0.871,0.589,0.558,1,4,0.000166,0.504,1
41,2,1,?,White Russian,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",5cmx64G6NpTRevu6P0Wg3M,"From Black, To White, To Pork",5.72,130.006,0.871,0.589,0.558,1,4,0.000166,0.504,1
42,2,1,?,White Russian,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",5cmx64G6NpTRevu6P0Wg3M,"From Black, To White, To Pork",5.72,130.006,0.871,0.589,0.558,1,4,0.000166,0.504,1
