,n_track,set_name,song_id,tempo,energy,danceability,dj,m_energy,m_danceability,m_tempo,d_energy,d_danceability,d_tempo,grupo_set,tempo_media_g,energy_media_g,danceability_media_g,d_energy_grupo,d_danceability_grupo,d_tempo_grupo
0,1,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,2lJ4d8MCT6ZlDRHKJ1br14,0.45901639344262296,0.844,0.64,bonobo,0.6767272727272727,0.6972727272727273,0.4798807749627423,-0.16727272727272724,0.05727272727272725,0.020864381520119324,1,0.4990892531876139,0.6773333333333333,0.7248333333333333,-0.16666666666666663,0.08483333333333332,0.04007285974499092
1,2,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,20ieXcjQBv4ePXkWxhvKPV,0.453551912568306,0.714,0.851,bonobo,0.6767272727272727,0.6972727272727273,0.4798807749627423,-0.037272727272727235,-0.1537272727272727,0.02632886239443627,1,0.4990892531876139,0.6773333333333333,0.7248333333333333,-0.036666666666666625,-0.12616666666666665,0.045537340619307864
2,3,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,7G2ws9VEzcZk51nnp4xuYu,0.5191256830601093,0.723,0.791,bonobo,0.6767272727272727,0.6972727272727273,0.4798807749627423,-0.04627272727272724,-0.09372727272727277,-0.039244908097367026,1,0.4990892531876139,0.6773333333333333,0.7248333333333333,-0.04566666666666663,-0.0661666666666667,-0.02003642987249543
3,4,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,6KuF6uqMIvaafrF1LCWcEg,0.4918032786885246,0.483,0.744,bonobo,0.6767272727272727,0.6972727272727273,0.4798807749627423,0.19372727272727275,-0.04672727272727273,-0.011922503725782296,1,0.4990892531876139,0.6773333333333333,0.7248333333333333,0.19433333333333336,-0.019166666666666665,0.007285974499089298
4,5,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,1d5hX0RYHcDM4aHJHSm5cr,0.546448087431694,0.631,0.641,bonobo,0.6767272727272727,0.6972727272727273,0.4798807749627423,0.04572727272727273,0.05627272727272725,-0.06656731246895176,1,0.4990892531876139,0.6773333333333333,0.7248333333333333,0.04633333333333334,0.08383333333333332,-0.04735883424408016
5,6,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,3XxUrQjvqK1J6ApLK7E8G0,0.5245901639344263,0.669,0.682,bonobo,0.6767272727272727,0.6972727272727273,0.4798807749627423,0.007727272727272694,0.015272727272727216,-0.04470938897168397,1,0.4990892531876139,0.6773333333333333,0.7248333333333333,0.008333333333333304,0.04283333333333328,-0.025500910746812377
6,7,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,0u3FUbLBZPhjD3NRc2ys3R,0.4918032786885246,0.892,0.593,bonobo,0.6767272727272727,0.6972727272727273,0.4798807749627423,-0.21527272727272728,0.1042727272727273,-0.011922503725782296,2,0.45683060109289614,0.676,0.6641999999999999,-0.21599999999999997,0.07119999999999993,-0.03497267759562844
7,8,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,3pXQeUeMYYxdBouICpd0L2,0.5245901639344263,0.526,0.803,bonobo,0.6767272727272727,0.6972727272727273,0.4798807749627423,0.1507272727272727,-0.10572727272727278,-0.04470938897168397,2,0.45683060109289614,0.676,0.6641999999999999,0.15000000000000002,-0.13880000000000015,-0.06775956284153012
8,9,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,18A3Au2LzZ8bRqrDUjyVlJ,0.4918032786885246,0.596,0.824,bonobo,0.6767272727272727,0.6972727272727273,0.4798807749627423,0.08072727272727276,-0.1267272727272727,-0.011922503725782296,2,0.45683060109289614,0.676,0.6641999999999999,0.08000000000000007,-0.15980000000000005,-0.03497267759562844
9,10,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,1h6ehMY0dFxzZmwCnZF6qX,0.23497267759562843,0.633,0.313,bonobo,0.6767272727272727,0.6972727272727273,0.4798807749627423,0.043727272727272726,0.38427272727272727,0.24490809736711386,2,0.45683060109289614,0.676,0.6641999999999999,0.04300000000000004,0.3511999999999999,0.2218579234972677
10,12,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,4x0WzGuKSqZkDKi0N69CLd,0.5409836065573771,0.733,0.788,bonobo,0.6767272727272727,0.6972727272727273,0.4798807749627423,-0.05627272727272725,-0.09072727272727277,-0.06110283159463481,2,0.45683060109289614,0.676,0.6641999999999999,-0.05699999999999994,-0.12380000000000013,-0.08415300546448096
